Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-102.299995,1.000000,0.000000,0.999820,0.000000,0.000000
2.000000,0.000000,-100.699997,1.000000,0.000000,0.999700,0.000000,0.000000
3.000000,0.333333,-32.700001,0.666667,0.000000,0.999220,0.000000,0.000000
4.000000,0.250000,-49.424999,0.750000,0.000000,0.998850,0.000000,0.000000
5.000000,0.200000,-59.940002,0.800000,0.000000,0.997670,0.000000,0.000000
6.000000,0.166667,-67.150002,0.833333,0.000000,0.997030,nan,0.000000
7.000000,0.142857,-73.014290,0.857143,0.000000,0.996350,nan,0.000000
8.000000,0.125000,-76.287506,0.875000,0.000000,0.996240,nan,0.000000
9.000000,0.111111,-80.055565,0.888889,0.000000,0.995580,nan,0.000000
