Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-106.999992,1.000000,0.000000,0.999797,0.000000,0.000000
2.000000,0.000000,-102.549995,1.000000,0.000000,0.999673,0.000000,0.000000
3.000000,0.000000,-102.866661,1.000000,0.000000,0.999480,0.000000,0.000000
4.000000,0.000000,-103.299995,1.000000,0.000000,0.999363,0.000000,0.000000
5.000000,0.000000,-102.219994,1.000000,0.000000,0.999253,0.000000,263.536163
6.000000,0.000000,-102.866661,1.000000,0.000000,0.999127,0.000000,322.629364
7.000000,0.000000,-102.157143,1.000000,0.000000,0.998997,0.000000,325.571747
8.000000,0.000000,-101.774994,1.000000,0.000000,0.998487,0.000000,330.623566
9.000000,0.000000,-102.744438,1.000000,0.000000,0.997967,0.000000,225.901489
10.000000,0.000000,-103.029991,1.000000,0.000000,0.997823,-1.261955,220.638428
11.000000,0.000000,-104.718170,1.000000,0.000000,0.997233,-1.261955,205.369019
12.000000,0.000000,-104.241661,1.000000,0.000000,0.997180,-1.261955,210.999542
13.000000,0.000000,-104.484612,1.000000,0.000000,0.997007,-1.261955,189.138321
14.000000,0.071429,-89.664284,0.928571,0.000000,0.996667,0.634279,211.595764
15.000000,0.066667,-90.079994,0.933333,0.000000,0.996410,0.634279,190.860184
16.000000,0.062500,-90.599998,0.937500,0.000000,0.996247,0.634279,170.891235
17.000000,0.058824,-91.370583,0.941176,0.000000,0.996010,0.634279,177.700729
18.000000,0.055556,-91.666656,0.944444,0.000000,0.995660,0.634279,188.803619
19.000000,0.052632,-92.205261,0.947368,0.000000,0.995473,0.575079,173.326736
20.000000,0.050000,-93.744995,0.950000,0.000000,0.994990,0.668846,138.565506
21.000000,0.047619,-95.028564,0.952381,0.000000,0.994450,0.888213,165.443954
22.000000,0.045455,-95.063629,0.954545,0.000000,0.994090,0.927686,147.898849
23.000000,0.043478,-95.682610,0.956522,0.000000,0.993910,1.265746,142.014450
24.000000,0.041667,-96.233330,0.958333,0.000000,0.993707,1.265746,151.373215
25.000000,0.040000,-96.843994,0.960000,0.000000,0.993380,1.265746,161.678482
26.000000,0.038462,-96.926918,0.961538,0.000000,0.993217,1.265746,156.129532
27.000000,0.037037,-96.988884,0.962963,0.000000,0.993100,1.265746,154.217972
28.000000,0.035714,-97.053574,0.964286,0.000000,0.992980,1.265746,150.878235
29.000000,0.034483,-97.400002,0.965517,0.000000,0.992847,1.265746,145.209793
30.000000,0.033333,-97.890007,0.966667,0.000000,0.992580,1.265746,154.273697
31.000000,0.032258,-98.064522,0.967742,0.000000,0.992410,1.265746,136.678955
32.000000,0.031250,-98.181259,0.968750,0.000000,0.992290,1.434485,132.887833
33.000000,0.030303,-98.221222,0.969697,0.000000,0.991973,1.022087,187.297348
34.000000,0.029412,-98.464714,0.970588,0.000000,0.991820,1.022087,165.090988
35.000000,0.028571,-98.574295,0.971429,0.000000,0.991597,1.022087,164.266830
36.000000,0.027778,-98.652786,0.972222,0.000000,0.991483,1.022087,179.489075
37.000000,0.027027,-99.324333,0.972973,0.000000,0.990987,0.800046,180.657181
38.000000,0.026316,-99.263161,0.973684,0.000000,0.990797,0.919889,207.645386
39.000000,0.051282,-94.156418,0.948718,0.000000,0.990760,0.919889,211.012207
40.000000,0.050000,-94.270004,0.950000,0.000000,0.990677,0.920232,210.361053
41.000000,0.048780,-94.375618,0.951219,0.000000,0.990550,0.051740,193.291641
42.000000,0.047619,-94.657150,0.952381,0.000000,0.990417,0.430706,169.260254
43.000000,0.046512,-94.846519,0.953488,0.000000,0.990250,0.294045,187.698151
44.000000,0.045455,-95.179558,0.954545,0.000000,0.990047,0.294045,193.547913
45.000000,0.044444,-95.304451,0.955556,0.000000,0.989933,0.118372,201.023407
46.000000,0.043478,-95.615227,0.956522,0.000000,0.989113,-0.086152,188.879974
47.000000,0.042553,-95.963837,0.957447,0.000000,0.988803,-0.173688,160.914627
48.000000,0.041667,-96.379173,0.958333,0.000000,0.988283,-0.190465,174.950760
49.000000,0.040816,-96.793884,0.959184,0.000000,0.987560,-0.137334,157.229370
50.000000,0.040000,-96.868011,0.960000,0.000000,0.987427,-0.137334,149.869568
51.000000,0.039216,-96.949028,0.960784,0.000000,0.987340,-0.137334,155.364029
52.000000,0.038462,-97.363472,0.961538,0.000000,0.985787,0.024629,140.363434
53.000000,0.037736,-97.437737,0.962264,0.000000,0.985530,0.024629,148.811859
