Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-101.699997,1.000000,0.000000,0.999850,0.000000,0.000000
2.000000,0.000000,-100.550003,1.000000,0.000000,0.999700,0.000000,0.000000
3.000000,0.000000,-100.000000,1.000000,0.000000,0.999230,0.000000,0.000000
4.000000,0.000000,-100.300003,1.000000,0.000000,0.999050,0.000000,0.000000
5.000000,0.000000,-100.580002,1.000000,0.000000,0.998920,0.000000,0.000000
6.000000,0.000000,-100.433342,1.000000,0.000000,0.998740,0.000000,0.000000
7.000000,0.000000,-101.200005,1.000000,0.000000,0.998240,0.000000,0.000000
8.000000,0.000000,-101.137505,1.000000,0.000000,0.998100,0.000000,0.000000
9.000000,0.000000,-101.233337,1.000000,0.000000,0.997160,0.000000,0.000000
