Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-87.700005,1.000000,0.000000,0.999850,0.000000,0.000000
2.000000,0.000000,-88.949997,1.000000,0.000000,0.999350,0.000000,0.000000
3.000000,0.000000,-89.133331,1.000000,0.000000,0.998890,0.000000,0.000000
4.000000,0.000000,-89.125000,1.000000,0.000000,0.998620,0.000000,249.757111
5.000000,0.000000,-88.720001,1.000000,0.000000,0.998430,0.000000,357.334625
6.000000,0.000000,-88.683327,1.000000,0.000000,0.998190,0.000000,403.016815
7.000000,0.000000,-88.400002,1.000000,0.142857,0.997740,0.000000,421.590912
8.000000,0.000000,-88.675003,1.000000,0.125000,0.997590,0.000000,435.014618
9.000000,0.000000,-89.900002,0.888889,0.111111,0.997440,0.000000,457.903656
10.000000,0.000000,-90.990005,0.800000,0.100000,0.997120,0.000000,455.824036
11.000000,0.000000,-90.245453,0.818182,0.090909,0.996430,0.000000,458.235779
12.000000,0.000000,-90.241669,0.833333,0.083333,0.995780,0.000000,440.351501
13.000000,0.000000,-90.015388,0.846154,0.076923,0.995600,-1.058172,415.169189
14.000000,0.000000,-90.085716,0.857143,0.071429,0.995500,-0.148459,410.544769
15.000000,0.000000,-90.020004,0.866667,0.066667,0.995380,-0.148459,408.312012
16.000000,0.000000,-90.168755,0.875000,0.062500,0.994930,-0.069631,436.131042
17.000000,0.000000,-90.105888,0.882353,0.058824,0.994750,-0.069631,460.620361
18.000000,0.000000,-89.905556,0.888889,0.055556,0.994110,-0.069631,473.219055
19.000000,0.000000,-89.815788,0.894737,0.052632,0.993990,-0.069631,462.954742
20.000000,0.000000,-89.705002,0.900000,0.050000,0.993630,-0.069631,455.768311
21.000000,0.047619,-80.723808,0.857143,0.047619,0.993330,-0.069631,458.317535
22.000000,0.045455,-81.149994,0.863636,0.045455,0.993290,-0.069631,463.797150
23.000000,0.043478,-81.465218,0.869565,0.043478,0.993180,-0.069631,459.517792
24.000000,0.041667,-81.541664,0.875000,0.041667,0.992620,0.215320,435.467072
25.000000,0.040000,-81.916000,0.880000,0.040000,0.992320,0.375366,432.167145
26.000000,0.038462,-80.861534,0.884615,0.038462,0.987770,0.297584,299.228607
27.000000,0.037037,-80.685188,0.888889,0.037037,0.985650,-0.076552,226.717636
28.000000,0.035714,-80.724998,0.892857,0.035714,0.984460,0.081723,219.292969
29.000000,0.034483,-81.317238,0.862069,0.034483,0.984130,0.093202,210.879120
30.000000,0.033333,-81.536659,0.866667,0.033333,0.983800,0.068853,243.521042
31.000000,0.032258,-81.816124,0.870968,0.032258,0.983330,0.068853,220.332397
32.000000,0.031250,-82.018745,0.875000,0.031250,0.983170,0.068853,222.605789
33.000000,0.030303,-82.363632,0.878788,0.030303,0.982260,0.027325,219.699951
34.000000,0.029412,-82.629402,0.882353,0.029412,0.982030,0.027325,210.205856
35.000000,0.028571,-82.734276,0.885714,0.028571,0.981740,0.027325,208.733459
36.000000,0.027778,-82.866661,0.888889,0.027778,0.981570,0.027325,219.359756
37.000000,0.027027,-83.037827,0.891892,0.027027,0.981380,0.027325,216.934952
38.000000,0.026316,-83.247360,0.894737,0.026316,0.980920,-0.405121,252.883453
39.000000,0.025641,-83.387169,0.897436,0.025641,0.980780,-0.405121,247.895889
40.000000,0.025000,-83.557487,0.900000,0.025000,0.980010,-0.405121,245.527954
41.000000,0.024390,-83.717064,0.902439,0.024390,0.979880,-0.405121,253.293686
42.000000,0.023810,-83.780945,0.904762,0.023810,0.978500,-0.004186,252.611908
43.000000,0.023256,-84.141853,0.883721,0.023256,0.978270,-0.004186,245.555389
44.000000,0.022727,-84.440903,0.863636,0.022727,0.978030,0.022273,234.182236
45.000000,0.022222,-84.562210,0.866667,0.022222,0.977590,0.022273,216.056122
46.000000,0.021739,-84.691292,0.869565,0.021739,0.977540,0.022273,219.101120
47.000000,0.021277,-84.780838,0.872340,0.021277,0.977470,0.022273,216.639786
48.000000,0.020833,-84.887489,0.875000,0.020833,0.977330,0.022273,217.000992
49.000000,0.020408,-84.955086,0.877551,0.020408,0.977210,0.022273,229.751526
