Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-101.699997,1.000000,0.000000,0.999910,0.000000,0.000000
2.000000,0.000000,-100.399994,1.000000,0.000000,0.999790,0.000000,0.000000
3.000000,0.333333,-34.199997,0.666667,0.000000,0.998800,0.000000,0.000000
4.000000,0.250000,-51.049995,0.750000,0.000000,0.998570,0.000000,0.000000
5.000000,0.200000,-60.699993,0.800000,0.000000,0.998440,0.000000,0.000000
6.000000,0.166667,-67.316658,0.833333,0.000000,0.997880,0.000000,0.000000
7.000000,0.142857,-72.599991,0.857143,0.000000,0.997230,0.000000,0.000000
8.000000,0.125000,-76.012497,0.875000,0.000000,0.997130,0.000000,0.000000
9.000000,0.111111,-79.755554,0.888889,0.000000,0.996360,0.000000,0.000000
