Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-92.599998,1.000000,1.000000,0.999700,0.000000,0.000000
2.000000,0.000000,-91.800003,1.000000,0.500000,0.999190,0.000000,0.000000
3.000000,0.000000,-91.733337,1.000000,0.333333,0.999090,0.000000,0.000000
4.000000,0.000000,-92.200005,1.000000,0.500000,0.998190,0.000000,312.765228
5.000000,0.000000,-91.919998,1.000000,0.400000,0.998030,0.000000,321.116516
6.000000,0.000000,-91.733337,1.000000,0.333333,0.996650,0.000000,272.591400
7.000000,0.000000,-91.371437,1.000000,0.285714,0.996490,0.000000,261.971222
8.000000,0.000000,-91.675003,1.000000,0.375000,0.995580,0.000000,269.837524
9.000000,0.000000,-91.888885,1.000000,0.333333,0.994200,0.000000,253.775223
10.000000,0.000000,-91.659996,1.000000,0.300000,0.994180,0.000000,254.775116
11.000000,0.000000,-92.436363,0.909091,0.272727,0.994170,0.000000,253.627213
12.000000,0.000000,-92.400002,0.916667,0.250000,0.993910,0.000000,242.544846
13.000000,0.000000,-92.076920,0.923077,0.230769,0.993740,0.000000,254.488144
14.000000,0.000000,-92.071426,0.928571,0.214286,0.993560,0.000000,266.479858
15.000000,0.000000,-91.973335,0.933333,0.200000,0.993330,0.000000,292.354614
16.000000,0.000000,-92.012497,0.937500,0.187500,0.993120,0.000000,305.950836
17.000000,0.000000,-92.541176,0.882353,0.176471,0.993010,0.000000,305.703583
18.000000,0.000000,-92.488884,0.888889,0.166667,0.992490,0.000000,313.785522
19.000000,0.000000,-92.705261,0.842105,0.157895,0.991540,-2.056988,324.085205
20.000000,0.000000,-92.599991,0.850000,0.200000,0.991290,-2.056988,319.713928
21.000000,0.000000,-92.561905,0.857143,0.190476,0.991200,-2.056988,315.176910
22.000000,0.000000,-92.645454,0.863636,0.181818,0.990900,-0.827815,296.271240
23.000000,0.000000,-92.626083,0.869565,0.173913,0.990630,-0.669224,305.593414
24.000000,0.000000,-92.449989,0.875000,0.166667,0.990550,-0.669224,306.270752
25.000000,0.000000,-92.295998,0.880000,0.160000,0.990060,-0.669224,335.264618
26.000000,0.000000,-92.323074,0.884615,0.230769,0.989290,-0.669224,353.079712
27.000000,0.000000,-92.348145,0.888889,0.222222,0.989100,-1.445607,331.437988
28.000000,0.000000,-92.314278,0.892857,0.214286,0.988550,-1.729935,297.733978
29.000000,0.000000,-92.275856,0.896552,0.206897,0.988330,-1.729935,314.193878
30.000000,0.000000,-92.299995,0.900000,0.200000,0.988060,-1.659998,336.163300
31.000000,0.000000,-92.232246,0.903226,0.193548,0.987950,-1.699500,330.402130
32.000000,0.000000,-92.212494,0.906250,0.187500,0.987610,-1.699500,333.532928
