Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-102.299995,1.000000,0.000000,0.999850,0.000000,0.000000
2.000000,0.000000,-100.599998,1.000000,0.000000,0.999740,0.000000,0.000000
3.000000,0.000000,-100.666664,1.000000,0.000000,0.999580,0.000000,0.000000
4.000000,0.000000,-100.900002,1.000000,0.000000,0.999440,0.000000,0.000000
5.000000,0.000000,-101.040001,1.000000,0.000000,0.999360,0.000000,0.000000
6.000000,0.000000,-100.900002,1.000000,0.000000,0.999200,0.000000,0.000000
7.000000,0.000000,-101.214287,1.000000,0.000000,0.998970,0.000000,0.000000
8.000000,0.000000,-100.974998,1.000000,0.000000,0.998870,0.000000,0.000000
9.000000,0.000000,-101.388885,1.000000,0.000000,0.998230,0.000000,0.000000
10.000000,0.000000,-101.409996,1.000000,0.000000,0.997880,0.000000,0.000000
11.000000,0.000000,-101.172729,1.000000,0.000000,0.997610,0.000000,nan
