Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-108.799995,1.000000,0.000000,0.999000,0.000000,0.000000
2.000000,0.000000,-124.900040,1.000000,0.000000,0.996110,-0.123867,54.047852
3.000000,0.000000,-116.333351,1.000000,0.000000,0.995760,-0.114143,52.722458
4.000000,0.000000,-114.475014,1.000000,0.000000,0.994250,-0.106491,108.529976
5.000000,0.000000,-112.520004,1.000000,0.000000,0.993670,-0.105914,122.126328
6.000000,0.000000,-111.483337,1.000000,0.000000,0.993280,-0.105914,135.478668
7.000000,0.000000,-109.628578,1.000000,0.000000,0.992590,-0.105914,158.486862
8.000000,0.000000,-109.437500,1.000000,0.000000,0.991990,-0.105914,160.571396
9.000000,0.000000,-108.511108,1.000000,0.000000,0.990330,-0.314887,168.700180
