Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-104.099998,1.000000,0.000000,0.999460,0.000000,0.000000
2.000000,0.000000,-101.849998,1.000000,0.000000,0.999300,0.000000,0.000000
3.000000,0.000000,-101.666664,1.000000,0.000000,0.999010,0.000000,0.000000
4.000000,0.000000,-101.675003,1.000000,0.000000,0.998820,0.000000,0.000000
5.000000,0.000000,-101.320000,1.000000,0.000000,0.998660,0.000000,0.000000
6.000000,0.000000,-101.183327,1.000000,0.000000,0.998530,0.000000,0.000000
7.000000,0.000000,-101.357140,1.000000,0.000000,0.998350,0.000000,0.000000
8.000000,0.000000,-101.437500,1.000000,0.000000,0.998040,0.000000,0.000000
9.000000,0.000000,-101.244446,1.000000,0.000000,0.997800,0.000000,0.000000
