Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-108.899994,1.000000,0.000000,0.999340,0.000000,0.000000
2.000000,0.000000,-103.800003,1.000000,0.000000,0.998940,0.000000,0.000000
3.000000,0.000000,-101.799995,1.000000,0.000000,0.998570,0.104509,286.639343
4.000000,0.000000,-102.750000,1.000000,0.000000,0.998170,0.104509,360.365967
5.000000,0.000000,-105.719994,1.000000,0.000000,0.996780,0.104509,301.381042
6.000000,0.000000,-106.366661,1.000000,0.000000,0.996210,0.104509,274.682465
7.000000,0.000000,-105.471420,1.000000,0.000000,0.996010,0.104509,265.254974
8.000000,0.000000,-104.387489,1.000000,0.000000,0.995480,-0.497565,280.400909
9.000000,0.000000,-103.122215,1.000000,0.000000,0.993910,-0.497565,264.550598
10.000000,0.000000,-103.699989,1.000000,0.000000,0.993240,-0.497565,245.018539
11.000000,0.000000,-103.336349,1.000000,0.000000,0.993210,-0.497565,249.497223
12.000000,0.000000,-105.033325,1.000000,0.000000,0.990990,-0.497565,242.992767
