Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-107.199997,1.000000,0.000000,0.999793,0.000000,0.000000
2.000000,0.000000,-101.699997,1.000000,0.000000,0.999587,0.000000,0.000000
3.000000,0.000000,-104.066658,1.000000,0.000000,0.999410,0.000000,0.000000
4.000000,0.000000,-106.649994,1.000000,0.000000,0.999050,0.000000,217.742477
5.000000,0.000000,-104.900002,1.000000,0.000000,0.998930,0.000000,204.584442
6.000000,0.000000,-103.900002,1.000000,0.000000,0.998773,0.000000,216.518661
7.000000,0.142857,-74.457146,0.857143,0.000000,0.998520,0.000000,238.663681
8.000000,0.125000,-79.562500,0.875000,0.000000,0.998150,0.000000,227.636414
9.000000,0.111111,-82.844444,0.888889,0.000000,0.997953,0.000000,203.187881
10.000000,0.100000,-84.750000,0.900000,0.000000,0.997767,0.000000,207.266800
11.000000,0.181818,-67.900002,0.818182,0.000000,0.997747,-2.459744,196.692749
12.000000,0.166667,-70.708336,0.833333,0.000000,0.997600,-2.459744,208.381180
13.000000,0.153846,-72.915390,0.846154,0.000000,0.996960,-0.534043,242.946426
14.000000,0.142857,-75.307144,0.857143,0.000000,0.996843,-1.014952,232.935013
15.000000,0.133333,-77.713341,0.866667,0.000000,0.996363,-1.014952,201.867569
16.000000,0.125000,-78.937508,0.875000,0.000000,0.996153,-1.014952,235.236298
17.000000,0.117647,-80.082359,0.882353,0.000000,0.996000,-1.521901,231.137070
18.000000,0.111111,-82.400009,0.888889,0.000000,0.995517,-1.615322,221.100037
19.000000,0.105263,-83.410538,0.894737,0.000000,0.995270,-1.587533,190.576279
20.000000,0.100000,-84.420006,0.900000,0.000000,0.994670,-0.985780,200.737366
21.000000,0.095238,-85.357147,0.904762,0.000000,0.994247,-0.985780,169.652603
22.000000,0.090909,-86.240913,0.909091,0.000000,0.994147,-0.985780,156.327255
23.000000,0.086957,-88.034790,0.913043,0.000000,0.993243,-0.748911,176.570984
24.000000,0.083333,-88.779175,0.916667,0.000000,0.993100,-0.748911,158.798065
25.000000,0.080000,-90.240013,0.920000,0.000000,0.992493,-0.748911,164.178543
26.000000,0.076923,-90.492317,0.923077,0.000000,0.992287,-0.748911,169.270218
27.000000,0.074074,-91.118523,0.925926,0.000000,0.992153,-0.748911,165.355179
28.000000,0.071429,-91.350014,0.928571,0.000000,0.991953,-0.748911,176.858505
29.000000,0.068966,-91.610352,0.931035,0.000000,0.991797,-0.748911,184.403870
30.000000,0.066667,-91.843346,0.933333,0.000000,0.991640,-0.663778,170.413361
31.000000,0.064516,-92.754852,0.935484,0.000000,0.990980,-0.965707,172.337082
