Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-106.799995,1.000000,0.000000,0.999100,0.000000,0.000000
2.000000,0.000000,-103.000000,1.000000,0.000000,0.998900,0.000000,0.000000
3.000000,0.000000,-103.766663,1.000000,0.000000,0.998110,0.000000,0.000000
4.000000,0.000000,-103.224998,1.000000,0.000000,0.997940,0.000000,0.000000
5.000000,0.000000,-102.940002,1.000000,0.000000,0.997790,0.000000,0.000000
6.000000,0.000000,-102.316673,1.000000,0.000000,0.997680,0.000000,0.000000
7.000000,0.000000,-102.542862,1.000000,0.000000,0.997380,0.000000,0.000000
8.000000,0.000000,-102.312508,1.000000,0.000000,0.997240,0.000000,0.000000
9.000000,0.000000,-102.011116,1.000000,0.000000,0.996990,0.000000,0.000000
10.000000,0.000000,-102.130005,1.000000,0.000000,0.996740,0.000000,0.000000
11.000000,0.000000,-101.890915,1.000000,0.000000,0.996630,0.000000,nan
12.000000,0.000000,-102.408333,1.000000,0.000000,0.995190,nan,nan
13.000000,0.000000,-102.169235,1.000000,0.000000,0.995090,nan,nan
14.000000,0.000000,-102.057144,1.000000,0.000000,0.994910,nan,nan
15.000000,0.000000,-102.120003,1.000000,0.000000,0.994340,nan,nan
16.000000,0.000000,-102.568756,1.000000,0.000000,0.993530,nan,nan
17.000000,0.000000,-102.858826,1.000000,0.000000,0.992990,nan,nan
18.000000,0.000000,-102.816673,1.000000,0.000000,0.992870,nan,nan
19.000000,0.000000,-102.768425,1.000000,0.000000,0.992460,nan,nan
20.000000,0.000000,-103.155006,1.000000,0.000000,0.991530,nan,nan
21.000000,0.000000,-103.114296,1.000000,0.000000,0.991400,nan,nan
22.000000,0.000000,-103.200005,1.000000,0.000000,0.990670,nan,nan
23.000000,0.000000,-103.021751,1.000000,0.000000,0.990550,nan,nan
24.000000,0.000000,-102.883339,1.000000,0.000000,0.990340,nan,nan
25.000000,0.000000,-102.864006,1.000000,0.000000,0.990160,nan,nan
26.000000,0.000000,-102.803848,1.000000,0.000000,0.989990,nan,nan
27.000000,0.000000,-102.666679,1.000000,0.000000,0.989780,nan,nan
28.000000,0.000000,-102.539299,1.000000,0.000000,0.989660,nan,nan
29.000000,0.000000,-102.493111,1.000000,0.000000,0.988610,nan,nan
30.000000,0.000000,-102.500008,1.000000,0.000000,0.988400,nan,nan
31.000000,0.000000,-102.429039,1.000000,0.000000,0.988220,nan,nan
32.000000,0.000000,-102.550011,1.000000,0.000000,0.987680,nan,nan
33.000000,0.000000,-102.451530,1.000000,0.000000,0.987580,nan,nan
34.000000,0.000000,-102.491188,1.000000,0.000000,0.987180,nan,nan
35.000000,0.000000,-102.477158,1.000000,0.000000,0.987080,nan,nan
36.000000,0.000000,-102.511124,1.000000,0.000000,0.986730,nan,nan
37.000000,0.027027,-97.032448,0.972973,0.000000,0.986710,nan,nan
38.000000,0.026316,-97.252640,0.973684,0.000000,0.986140,nan,nan
