Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-104.099998,1.000000,0.000000,0.998980,0.000000,0.000000
2.000000,0.000000,-101.900002,1.000000,0.000000,0.998860,0.000000,0.000000
3.000000,0.000000,-101.866669,1.000000,0.000000,0.998560,0.000000,0.000000
4.000000,0.000000,-101.875000,1.000000,0.000000,0.998360,0.000000,0.000000
5.000000,0.000000,-101.500000,1.000000,0.000000,0.998000,0.000000,0.000000
6.000000,0.000000,-101.183327,1.000000,0.000000,0.997900,0.000000,0.000000
7.000000,0.000000,-101.414284,1.000000,0.000000,0.997640,0.000000,0.000000
8.000000,0.000000,-100.887497,1.000000,0.000000,0.997030,0.000000,0.000000
9.000000,0.000000,-101.155548,1.000000,0.000000,0.996760,0.000000,0.000000
