Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-99.599998,1.000000,0.000000,0.999490,0.000000,0.000000
2.000000,0.000000,-101.300003,1.000000,0.000000,0.999280,0.000000,124.230553
3.000000,0.000000,-110.466675,1.000000,0.000000,0.998630,-0.006345,72.781143
4.000000,0.000000,-107.675003,1.000000,0.000000,0.998547,-0.006345,68.245377
5.000000,0.000000,-107.059998,1.000000,0.000000,0.998120,-0.006345,103.127686
6.000000,0.000000,-106.649994,1.000000,0.000000,0.997983,-0.006345,127.907860
7.000000,0.000000,-107.028564,1.000000,0.000000,0.997763,-0.006345,183.481689
8.000000,0.000000,-105.962494,1.000000,0.000000,0.997623,-0.006345,155.091782
9.000000,0.000000,-105.199989,1.000000,0.000000,0.997473,-0.006345,150.493744
10.000000,0.000000,-105.259995,1.000000,0.000000,0.997337,-0.006345,167.525604
11.000000,0.000000,-106.099998,1.000000,0.000000,0.996950,0.060971,165.343536
12.000000,0.000000,-105.933327,1.000000,0.000000,0.996827,0.203888,169.265610
13.000000,0.000000,-105.469231,1.000000,0.000000,0.996643,-0.074770,156.219284
14.000000,0.000000,-105.400002,1.000000,0.000000,0.996533,-0.210058,143.211823
15.000000,0.000000,-105.419998,1.000000,0.000000,0.996413,-0.210058,166.075165
16.000000,0.000000,-105.393745,1.000000,0.000000,0.996210,-0.029085,192.810577
17.000000,0.000000,-105.964699,1.000000,0.000000,0.995833,0.217296,137.309097
18.000000,0.000000,-106.555550,1.000000,0.000000,0.995457,0.158841,147.022278
19.000000,0.000000,-107.526306,1.000000,0.000000,0.994880,0.035513,115.266922
20.000000,0.000000,-107.929993,1.000000,0.000000,0.994560,0.035513,126.658981
21.000000,0.000000,-107.795235,1.000000,0.000000,0.994000,0.035513,104.509430
22.000000,0.000000,-107.418182,1.000000,0.000000,0.993763,0.035513,129.669876
23.000000,0.000000,-107.530434,1.000000,0.000000,0.993187,0.117353,110.072044
24.000000,0.000000,-107.904167,1.000000,0.000000,0.992777,0.112999,107.202156
25.000000,0.000000,-107.775993,1.000000,0.000000,0.992693,0.112999,108.048981
26.000000,0.000000,-107.380768,1.000000,0.000000,0.992530,0.112999,95.848602
27.000000,0.000000,-107.425926,1.000000,0.000000,0.992267,0.217767,103.592262
28.000000,0.000000,-107.503578,1.000000,0.000000,0.992057,0.217767,132.215759
29.000000,0.000000,-107.296555,1.000000,0.000000,0.991877,0.217767,130.493988
30.000000,0.000000,-107.023338,1.000000,0.000000,0.991667,0.052213,135.084366
31.000000,0.000000,-106.706459,1.000000,0.000000,0.991563,-0.023472,134.253891
32.000000,0.000000,-106.968758,1.000000,0.000000,0.991117,-0.030375,142.949905
33.000000,0.000000,-106.996971,1.000000,0.000000,0.990580,0.010736,133.625320
34.000000,0.000000,-106.941185,1.000000,0.000000,0.990460,0.132419,121.451218
35.000000,0.000000,-106.862862,1.000000,0.000000,0.990340,0.056195,123.199303
36.000000,0.000000,-106.655556,1.000000,0.000000,0.990180,0.056195,130.079071
37.000000,0.000000,-106.537842,1.000000,0.000000,0.990047,0.043695,133.149719
38.000000,0.000000,-106.886848,1.000000,0.000000,0.989557,-0.418043,147.941544
39.000000,0.000000,-106.764107,1.000000,0.000000,0.989437,-0.547679,144.550995
40.000000,0.000000,-106.572510,1.000000,0.000000,0.989267,-0.547679,129.341751
41.000000,0.000000,-106.560989,1.000000,0.000000,0.989120,-0.547679,139.614609
42.000000,0.000000,-106.616676,1.000000,0.000000,0.988907,-0.657404,150.052429
43.000000,0.000000,-106.581406,1.000000,0.000000,0.988797,-0.690546,138.113388
44.000000,0.000000,-106.409103,1.000000,0.000000,0.988673,-0.786889,139.105438
45.000000,0.000000,-106.373337,1.000000,0.000000,0.987963,-0.721848,139.198212
46.000000,0.000000,-106.143478,1.000000,0.000000,0.987733,-0.721848,163.269272
47.000000,0.000000,-106.199997,1.000000,0.000000,0.987557,-1.242721,170.355072
48.000000,0.000000,-106.195831,1.000000,0.000000,0.987017,-1.232802,146.133682
49.000000,0.020408,-101.981636,0.979592,0.000000,0.986957,-1.232802,146.623413
