Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-107.899994,1.000000,0.000000,0.999677,0.000000,0.000000
2.000000,0.000000,-102.949997,1.000000,0.000000,0.999550,0.000000,0.000000
3.000000,0.000000,-103.500000,1.000000,0.000000,0.999433,0.000000,0.000000
4.000000,0.000000,-102.025002,1.000000,0.000000,0.999333,0.000000,311.796814
5.000000,0.000000,-102.639999,1.000000,0.000000,0.999193,0.000000,357.877777
6.000000,0.000000,-103.033333,1.000000,0.000000,0.999030,0.000000,364.395721
7.000000,0.000000,-102.728569,1.000000,0.000000,0.998920,-1.513977,369.096130
8.000000,0.000000,-103.599998,1.000000,0.000000,0.998623,-1.513977,329.221893
