Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-108.299995,1.000000,0.000000,0.999780,0.000000,0.000000
2.000000,0.000000,-105.449997,1.000000,0.000000,0.999577,0.000000,0.000000
3.000000,0.000000,-102.933327,1.000000,0.000000,0.999397,0.000000,0.000000
4.000000,0.000000,-104.424995,1.000000,0.000000,0.999203,0.000000,215.607864
5.000000,0.000000,-104.059998,1.000000,0.000000,0.999060,0.000000,224.876907
6.000000,0.000000,-104.183327,1.000000,0.000000,0.998900,0.000000,244.450958
7.000000,0.000000,-104.328568,1.000000,0.000000,0.998753,0.000000,283.111389
8.000000,0.000000,-104.474998,1.000000,0.000000,0.998647,0.000000,301.144379
9.000000,0.000000,-106.033333,1.000000,0.000000,0.998173,0.000000,266.598724
