Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-103.399994,1.000000,0.000000,0.999690,0.000000,0.000000
2.000000,0.000000,-101.349998,1.000000,0.000000,0.999560,0.000000,0.000000
3.000000,0.000000,-101.799995,1.000000,0.000000,0.998900,0.000000,0.000000
4.000000,0.000000,-101.574997,1.000000,0.000000,0.998480,0.000000,0.000000
5.000000,0.000000,-101.599998,1.000000,0.000000,0.998380,0.000000,0.000000
6.000000,0.000000,-101.833336,1.000000,0.000000,0.998080,0.000000,0.000000
7.000000,0.000000,-102.128578,1.000000,0.000000,0.997810,0.000000,0.000000
8.000000,0.000000,-102.162506,1.000000,0.000000,0.997600,0.000000,0.000000
9.000000,0.000000,-102.300011,1.000000,0.000000,0.997250,0.000000,0.000000
10.000000,0.000000,-102.290009,1.000000,0.000000,0.997110,0.312657,0.000000
11.000000,0.000000,-102.336372,1.000000,0.000000,0.996880,0.312657,nan
12.000000,0.000000,-102.800011,1.000000,0.000000,0.995990,0.312657,nan
13.000000,0.000000,-102.523079,1.000000,0.000000,0.995850,nan,nan
14.000000,0.000000,-102.321426,1.000000,0.000000,0.995730,nan,nan
15.000000,0.000000,-102.313332,1.000000,0.000000,0.995110,nan,nan
16.000000,0.000000,-102.331245,1.000000,0.000000,0.994800,nan,nan
17.000000,0.000000,-102.247055,1.000000,0.000000,0.994530,nan,nan
18.000000,0.000000,-102.566666,1.000000,0.000000,0.993470,nan,nan
19.000000,0.000000,-102.763161,1.000000,0.000000,0.993020,nan,nan
20.000000,0.000000,-102.644997,1.000000,0.000000,0.992880,nan,nan
21.000000,0.000000,-102.666664,1.000000,0.000000,0.992680,nan,nan
